nx,ny,nz
9.844425942734691404e-01,1.756880671485915313e-01,-2.545906854922761180e-03
4.592447044881040746e-02,-9.835669676826505059e-01,-1.746051634332510816e-01
-9.458116995653371994e-02,-4.393945304495797677e-01,8.933010964398546694e-01
-8.202472075425264464e-01,-3.882790258934813443e-01,-4.200403749282879406e-01
-5.761468444375622555e-01,7.302837969155259179e-01,3.670700064119678530e-01
5.929966400448329900e-01,6.637492297625063875e-01,-4.558420174635268163e-01
3.306276251155581547e-01,2.763641798936740668e-01,9.023902778632663102e-01
9.330812112407050884e-01,-3.372585243860012905e-01,-1.249645588099102672e-01
-4.261699778648356807e-01,-9.041641644373619169e-01,-2.943320767385965500e-02
-5.443266881646171562e-01,3.386862424025189888e-01,7.674634100457178310e-01
-9.233839942555787106e-01,1.954384398289623140e-02,-3.833797560056940168e-01
-7.825851559461606544e-02,9.346360602659372629e-01,3.468876469225944392e-01
8.089468984258180173e-01,3.140788843250584272e-01,-4.969500678623313128e-01
4.881961548009083884e-01,-1.774039044745274463e-01,8.545129426256808935e-01
7.123698031059721991e-01,-6.475150436885029892e-01,-2.706538967386840633e-01
-6.880657748367460247e-01,-7.220979954596834505e-01,7.169361513702306177e-02
-4.187102162434839236e-01,8.738856834535555507e-01,2.469930506476795129e-01
-9.305564571823730091e-01,2.311802877718697746e-01,-2.839372369765999493e-01
2.464692836023805456e-01,9.281770716042664349e-01,2.788193249913964444e-01
8.277584585031442233e-01,2.850334859169988827e-02,-5.603601462412887146e-01
5.749560932069575081e-01,-2.023206904584842758e-01,7.927747656784962516e-01
4.917985668044590475e-01,-7.921223188616191013e-01,-3.614919109058618019e-01
-7.781215426477435804e-01,-6.044443581291655265e-01,1.708036381149918848e-01
-2.901916332582931690e-01,9.075909154788796007e-01,-3.034263438251422196e-01
-9.433849192303125353e-01,3.089993280410545107e-01,-1.205997903770708590e-01
3.586899186449079013e-01,9.128528556687695028e-01,1.950415498294708061e-01
7.460826991094018368e-01,-9.022677370650847295e-02,-6.597118578562493063e-01
7.513230159171371270e-01,-2.048737749189418270e-02,6.596165500627479972e-01
4.122977951724643986e-01,-8.306631136359319267e-01,-3.741781924973492379e-01
-7.350150128171456521e-01,-6.107605848680239813e-01,2.944901337992161805e-01
-3.200119160652666883e-01,1.945890808130635308e-01,-9.272148959138672986e-01
-9.631575255576543260e-01,2.674675587384751640e-01,2.808355362372983235e-02
2.903535821921465199e-01,9.505457002086578067e-01,1.102618207858957200e-01
4.589638876900081210e-01,9.565327660055608638e-02,-8.832907791163966404e-01
8.637478213438866126e-01,2.587197076620391112e-01,4.324393760875140380e-01
5.210385568460018657e-01,-7.690501146955862621e-01,-3.702441672282513196e-01
-4.933541131055280138e-01,-7.086754661963974300e-01,5.043617775894368993e-01
-1.867700701679610442e-01,-6.763121656255803860e-01,-7.125438902385538009e-01
-9.920716055469526173e-01,4.107258468688220615e-02,1.187727757300910403e-01
8.346318463419780120e-02,9.964998510478475513e-01,-4.684407362279766757e-03
