x,y,z
4.999999999999996275e+06,-8.660254037844391540e+06,-1.732050807568877190e+07
-1.139559337799907289e+07,4.049947761872871313e+06,1.594379499935422651e+07
1.597480015770006366e+07,1.214344415956855053e+06,-1.201306613301257789e+07
-1.800824371323911101e+07,-6.293264525335884653e+06,6.155699745202648453e+06
1.714962849358621985e+07,1.036750317248496972e+07,6.992408178163336124e+05
-1.354979904598877952e+07,-1.278960515240288153e+07,-7.449937538603772409e+06
7.774758340617058799e+06,1.316719065124300309e+07,1.301764774560518190e+07
-7.458126903673709603e+05,-1.143713315793109313e+07,-1.650980700057367422e+07
-6.411806337839802727e+06,7.869601778016233817e+06,1.735718983973970264e+07
1.255182322807440720e+07,-3.039275805482803844e+06,-1.542911148754834943e+07
-1.669588548305864260e+07,-2.284938858349110931e+06,1.103165267948093079e+07
1.816252573974226415e+07,7.249543109660390764e+06,-4.854894023014966398e+06
-1.672764045822002925e+07,-1.106096277913877182e+07,-2.104882586517246440e+06
1.261108913351208903e+07,1.310582827081353776e+07,8.737218847208952531e+06
-6.470939844433165155e+06,-1.305791446630927362e+07,-1.398287340782357007e+07
-7.168851302427229239e+05,1.091203798407171853e+07,1.698889771049308777e+07
7.797991956444322132e+06,-7.019914011371131055e+06,-1.728313014984418824e+07
-1.364371425073170289e+07,1.998417763603254687e+06,1.481342978851456381e+07
1.730646752743970603e+07,3.351236750537054148e+06,-9.960985402727657929e+06
-1.820544775737795234e+07,-8.171038295698380098e+06,3.509822801612167154e+06
1.619063759964069538e+07,1.168922660191146471e+07,3.512336438110848423e+06
-1.158241011157913506e+07,-1.334323490328525379e+07,-9.984190961250597611e+06
5.107074401543698274e+06,1.285502848064540327e+07,1.485968655021378584e+07
2.191195138165271375e+06,-1.031389729889464378e+07,-1.736847660264203697e+07
-9.150911937590373680e+06,6.116463995652628131e+06,1.709961819922647998e+07
1.465202317462712154e+07,-9.318317689408090664e+05,-1.408677193947721832e+07
-1.781478203873882443e+07,-4.408015373837362044e+06,8.816030747674506158e+06
1.813212250586667657e+07,9.050531887426665053e+06,-2.127080883471106645e+06
-1.554545512700309046e+07,-1.225094273700556345e+07,-4.913655052132622339e+06
1.045956724685539864e+07,1.348785232122329623e+07,1.117352753346650489e+07
-3.698227004117780365e+06,-1.257482677854038030e+07,-1.565948163328295201e+07
-3.668148403586660512e+06,9.642087897149264812e+06,1.763984154808119312e+07
1.045631958106040023e+07,-5.160806316621471196e+06,-1.679664786221948266e+07
-1.557925964630347677e+07,-1.523670015861598949e+05,1.326348412347333319e+07
1.821872838579458371e+07,5.449657238642095588e+06,-7.603395748784532771e+06
-1.793917342619912326e+07,-9.880779434475287795e+06,7.146107582702338696e+05
1.478440226414091140e+07,1.273331447303774580e+07,6.296303769042417407e+06
-9.265449929541153833e+06,-1.355871102155544609e+07,-1.231395151585779339e+07
2.247718235992358997e+06,1.220486706287390180e+07,1.636071950139192306e+07
5.137451039041010663e+06,-8.898326221015304327e+06,-1.779665244203122333e+07
