vx,vy,vz
3.866201827051971122e+03,2.232152665589877870e+03,-7.102097538535267217e-13
-3.118898326962463670e+03,-2.810315235302154633e+03,-1.514427669982955649e+03
1.871913496998068467e+03,2.938727502890021242e+03,2.786966612247748344e+03
-3.271454014030178428e+02,-2.595938950586364172e+03,-3.610592197533274430e+03
-1.268524410859827185e+03,1.839789856603273392e+03,3.858259150030208275e+03
2.661492012322903065e+03,-7.880561087691505691e+02,-3.487003857794736177e+03
-3.626519768524437495e+03,-3.879647811004359710e+02,2.558711075217970119e+03
4.010625766242731970e+03,1.501348861932153568e+03,-1.221280505740403669e+03
-3.754128146622846089e+03,-2.373849105547043109e+03,-3.096033142829351164e+02
2.895855327225717247e+03,2.866384486537275279e+03,1.791692450743894824e+03
-1.575096146752727236e+03,-2.898675471125127842e+03,-2.983939930196846944e+03
4.146799035748086837e+00,2.468913787789590060e+03,3.699779448375036736e+03
1.567401578189238762e+03,-1.643279998066170265e+03,-3.822329581742955270e+03
-2.887029643710818164e+03,5.555195429029248544e+02,3.333520327286691554e+03
3.742583155379699747e+03,6.199482357051654162e+02,-2.311249734776881269e+03
-4.000774828076272570e+03,-1.695721845176003171e+03,9.211898681713661290e+02
3.617341730223098693e+03,2.499932841761210511e+03,6.171894300990564943e+02
-2.655437041927099017e+03,-2.902324552240121193e+03,-2.053810891901017840e+03
1.270231615760836348e+03,2.841535675410974818e+03,3.162250665177422434e+03
3.177244445514444351e+02,-2.325538408006269947e+03,-3.763465052394255054e+03
-1.854497304586361452e+03,1.437476483617553413e+03,3.762256502447885396e+03
3.091527633386294383e+03,-3.208722165321756847e+02,-3.158649791812377771e+03
-3.835496627044388788e+03,-8.467854916415154776e+02,2.051459277687786653e+03
3.963693786658396220e+03,1.878473807952832885e+03,-6.149488001394579442e+02
-3.457913670616735544e+03,-2.607859320666403164e+03,-9.171478981520166371e+02
2.399803307571886762e+03,2.920617091053768036e+03,2.302635008137302975e+03
-9.584188074706123643e+02,-2.765581996778504163e+03,-3.318357960433418612e+03
-6.364373250988006703e+02,2.167510891551013628e+03,3.802437228778722783e+03
2.126052828848275567e+03,-1.224229049986514838e+03,-3.677559334550146559e+03
-3.277226237335974929e+03,8.493205082478655754e+01,2.965559251719022996e+03
3.901046441696402326e+03,1.067064161563820790e+03,-1.777809077506241692e+03
-3.901348511522613990e+03,-2.046935814498666332e+03,3.082631982474076722e+02
3.277433704529421902e+03,2.699395833208142449e+03,1.210752902470185745e+03
-2.129705391571907512e+03,-2.919299142207328714e+03,-2.534569741633035392e+03
6.410569880654663848e+02,2.671311312930039094e+03,3.451795332456732922e+03
9.468714235589351347e+02,-1.997470129448068974e+03,-3.816219901091675183e+03
-2.385250965185332461e+03,1.003213044692521066e+03,3.570507497290630454e+03
3.437808527423653231e+03,1.499828853412081742e+02,-2.752255190083841171e+03
-3.942007636927419753e+03,-1.278573547178773424e+03,1.496018434723248674e+03
3.814131620676649163e+03,2.202089917922369295e+03,2.815747151783341474e-10
