nx,ny,nz
9.844425942735267610e-01,1.756880671482603240e-01,-2.545906855503840202e-03
9.708395325800633913e-01,2.350811801889021169e-01,4.698340878136702398e-02
9.514804910858071230e-01,2.919540591600487400e-01,9.719929229722726327e-02
9.263326554909525612e-01,3.463757609889716038e-01,1.480933609936343764e-01
8.952315126713835669e-01,3.983687826265653320e-01,1.996568349662360409e-01
8.578861688451655532e-01,4.478969683565553472e-01,2.518325376935449667e-01
8.138902671279556467e-01,4.948593631735140330e-01,3.044615636724762320e-01
7.627390619099703173e-01,5.390916588802443510e-01,3.572244487187918871e-01
7.038524453381649337e-01,5.803775141493180412e-01,4.095774362209710362e-01
6.366020627010895439e-01,6.184720096481604035e-01,4.606844766719231377e-01
5.603385310168177424e-01,6.531384308675419748e-01,5.093436175920926789e-01
4.744133817146576337e-01,6.841971824041312988e-01,5.539008565080131286e-01
3.781919362658984762e-01,7.115816243667379970e-01,5.921338119099813779e-01
2.710620259871341364e-01,7.353888525616485428e-01,6.210705383415092706e-01
1.524681183575013199e-01,7.559000567107662105e-01,6.366856187705071113e-01
2.206219212350250120e-02,7.735150951189663227e-01,6.333937616536825521e-01
-1.197903159039345466e-01,7.884799327471831987e-01,6.032824180022429150e-01
-2.706021837341188174e-01,8.001690808093029350e-01,5.352605909976199117e-01
-4.224997020961440142e-01,8.056318616190875082e-01,4.152725674455671756e-01
-5.567945244450263065e-01,7.978271004838551894e-01,2.311963998023358335e-01
-6.416239070560798563e-01,7.669166109718255075e-01,-1.255681924616414147e-02
-6.467780013729864663e-01,7.098138233971070798e-01,-2.790027832376331118e-01
-5.723231191019471087e-01,6.399658555364763357e-01,-5.127279503683062067e-01
-4.499789837990227914e-01,5.785958327336649942e-01,-6.802541999006220808e-01
-3.141711498626811316e-01,5.385614076539135819e-01,-7.818235726682816189e-01
-1.850953182123159513e-01,5.217297726957101922e-01,-8.327891494602723821e-01
-7.077993073228375231e-02,5.245292598686692731e-01,-8.484451997313434690e-01
2.685601533923872783e-02,5.422319741446902652e-01,-8.397995240861062527e-01
1.082408448414502594e-01,5.706242929669178565e-01,-8.140465808441270656e-01
1.744894774422068862e-01,6.063551730191286682e-01,-7.758136544395749512e-01
2.267775226780663067e-01,6.468464709755470388e-01,-7.281219665649979467e-01
2.661310238882821921e-01,6.901108578625478884e-01,-6.729942659372314395e-01
2.933668353504467752e-01,7.345790775896851033e-01,-6.118247123841527024e-01
3.090849643640414257e-01,7.789564536993407451e-01,-5.456128004768822093e-01
