x,y,z
4.999999999999996275e+06,-8.660254037844391540e+06,-1.732050807568877190e+07
7.647967471841163933e+06,-6.989288526591309346e+06,-1.710726690781845525e+07
1.010762399926088192e+07,-5.146226219389326870e+06,-1.647279848434517533e+07
1.231841406884590164e+07,-3.176446961932467297e+06,-1.543272996085487679e+07
1.422591179048395902e+07,-1.128447118776059011e+06,-1.401267168071976118e+07
1.578315897504496388e+07,9.473540402921125060e+05,-1.224758556391912512e+07
1.695181925297987089e+07,2.999854774450493976e+06,-1.018092395176697150e+07
1.770312011401497200e+07,4.978527709776543081e+06,-7.863560180319414474e+06
1.801855995136327669e+07,6.834662318428293802e+06,-5.352537179851054214e+06
1.789036292334120721e+07,8.522562666126234457e+06,-2.709664775347360875e+06
1.732167056664492190e+07,1.000067116446645744e+07,-4.242585683065323848e-09
1.632646546742006950e+07,1.123259086421040632e+07,2.709752447520446964e+06
1.492922877610773593e+07,1.218798127266221493e+07,5.352880529974355362e+06
1.316433979610655457e+07,1.284330571799140051e+07,7.864305889508367516e+06
1.107523214147398993e+07,1.318241185015340149e+07,1.018218538790369965e+07
8.713326905175015330e+06,1.319693088681819290e+07,1.224943387886728346e+07
6.136768767751133069e+06,1.288648559688011929e+07,1.401513074529676512e+07
3.408995874271806329e+06,1.225870166870343499e+07,1.543577547453942336e+07
5.971784873247948708e+05,1.132902192803696916e+07,1.647636115143861249e+07
-2.229435228741160128e+06,1.012032773753411509e+07,1.711123915048298240e+07
-5.001225521704358049e+06,8.662376703702129424e+06,1.732475340740424395e+07
-7.649917287613886409e+06,6.991070415055045858e+06,1.711162833050593734e+07
-1.011026371736263484e+07,5.147570213438576087e+06,1.647710053835399449e+07
-1.232165561092979275e+07,3.177282831423999276e+06,1.543679102288425900e+07
-1.422961647186541371e+07,1.128740986550052883e+06,1.401632083057002164e+07
-1.578714634441282228e+07,-9.475933745398957981e+05,1.225067972571428865e+07
-1.695588109698595852e+07,-3.000573572943614796e+06,1.018336341412276775e+07
-1.770703841461647674e+07,-4.979629626726455986e+06,7.865300652755113319e+06
-1.802212705275773257e+07,-6.836015364040844142e+06,5.353596811857702211e+06
-1.789340180034062266e+07,-8.524010318125991151e+06,2.710125042028197553e+06
-1.732405294780012220e+07,-1.000204663286772370e+07,6.364753797234804220e-09
-1.632812568931628019e+07,-1.123373309510791861e+07,-2.710027999528680928e+06
-1.493017162991621345e+07,-1.218875100328479521e+07,-5.353218590558037162e+06
-1.316464124030521140e+07,-1.284359981097748131e+07,-7.864485970653627999e+06
-1.107503252942105941e+07,-1.318217425980239548e+07,-1.018200187148592621e+07
-8.712817221933288500e+06,-1.319615893661038578e+07,-1.224871735219079442e+07
-6.136171184054365382e+06,-1.288523074208723940e+07,-1.401376598576973937e+07
-3.408540603833396919e+06,-1.225706452254980803e+07,-1.543371403107424080e+07
-5.970793905797677580e+05,-1.132714197217545658e+07,-1.647362703794497065e+07
2.229003675384311005e+06,-1.011836873852333613e+07,-1.710792691579669714e+07
5.000147400506091304e+06,-8.660509343010017648e+06,-1.732101868602002040e+07
7.648148485118607990e+06,-6.989453950153545476e+06,-1.710767180525849760e+07
1.010783781639770791e+07,-5.146335082892343402e+06,-1.647314695067195408e+07
1.231868178214457817e+07,-3.176515994933743495e+06,-1.543306535687437095e+07
1.422626951428583078e+07,-1.128475494629890891e+06,-1.401302404240046442e+07
1.578364977147588879e+07,9.473834994126006495e+05,-1.224796641741566174e+07
1.695248482999600843e+07,2.999972557347996626e+06,-1.018132368402486295e+07
1.770399318571728095e+07,4.978773237775827758e+06,-7.863947990594013594e+06
1.801965797680249438e+07,6.835078813037986867e+06,-5.352863355860890821e+06
1.789168370096156374e+07,8.523191854594130069e+06,-2.709864819617514033e+06
1.732318989496435970e+07,1.000154834908066690e+07,-8.485915622355949273e-09
1.632813682852356508e+07,1.123374075887067243e+07,2.710029848336325958e+06
1.493098479215421528e+07,1.218941485580373369e+07,5.353510150180928409e+06
1.316609507569726184e+07,1.284501819220227376e+07,7.865354484108393081e+06
1.107688708331110328e+07,1.318438166212719865e+07,1.018370688419166766e+07
8.714772055943051353e+06,1.319911966671988554e+07,1.225146551144240424e+07
6.137889420319356024e+06,1.288883883418235183e+07,1.401769008765722252e+07
3.409676711786419153e+06,1.226114995092038438e+07,1.543885827528134175e+07
5.973081958897090517e+05,1.133148261811059341e+07,1.647993985563674755e+07
-2.229959371007188689e+06,1.012270703586258367e+07,1.711526201849326119e+07
-5.002493039598078467e+06,8.664572109093556181e+06,1.732914421818709746e+07
-7.651999877526429482e+06,6.992973642524953000e+06,1.711628674748072401e+07
-1.011321065730970167e+07,5.149070627346305177e+06,1.648190328407317586e+07
-1.232548936653924175e+07,3.178271410090897698e+06,1.544159402063428983e+07
-1.423432870912451111e+07,1.129114777041402878e+06,1.402096243348208070e+07
-1.579269458943603002e+07,-9.479263973744012183e+05,1.225498511259906180e+07
-1.696218631926095486e+07,-3.001689367706621997e+06,1.018715020464491099e+07
-1.771398386222307011e+07,-4.981582847579256631e+06,7.868385755543890409e+06
-1.802955871455242112e+07,-6.838834285140470602e+06,5.355804438114794903e+06
-1.790113087858998403e+07,-8.527692275502361357e+06,2.711295684075428639e+06
-1.733186066971842200e+07,-1.000655442321903072e+07,-2.017486539396724981e-08
-1.633577065081119910e+07,-1.123899282047936320e+07,-2.711296856720296200e+06
-1.493739965046533756e+07,-1.219465184253192693e+07,-5.355810200014116243e+06
-1.317119743020907231e+07,-1.284999611740714312e+07,-7.868402603289341554e+06
-1.108067496198855340e+07,-1.318889022466807067e+07,-1.018718932884185202e+07
-8.717331308109598234e+06,-1.320299582956002466e+07,-1.225506337831168994e+07
-6.139383614542426541e+06,-1.289197646459724568e+07,-1.402110252312419564e+07
-3.410331601142936852e+06,-1.226350492392220348e+07,-1.544182358396465518e+07
-5.973920348949048202e+05,-1.133307312069635838e+07,-1.648225300280706771e+07
2.230158101224491373e+06,-1.012360915443707444e+07,-1.711678730177168921e+07
5.002688767412542365e+06,-8.664911119612587616e+06,-1.732982223922519758e+07
7.651932138653951697e+06,-6.992911737642866559e+06,-1.711613522657320648e+07
1.011266360118017532e+07,-5.148792097535796463e+06,-1.648101172485194355e+07
1.232430701687108539e+07,-3.177966527417662553e+06,-1.544011275177565962e+07
1.423242481460301951e+07,-1.128963753731319215e+06,-1.401908707749521174e+07
1.579005643055465445e+07,9.477680469149700366e+05,-1.225293792567770556e+07
1.695887238667528704e+07,3.001102922302659601e+06,-1.018515992294523865e+07
1.771011581385488063e+07,4.980495062722126953e+06,-7.866667604679649696e+06
1.802530842879780754e+07,6.837222099262754433e+06,-5.354541861494529992e+06
1.789670374252812937e+07,8.525583288408003747e+06,-2.710625152421414852e+06
1.732747647061370686e+07,1.000402320468571782e+07,-1.273202315822288441e-08
1.633164357639680989e+07,1.123615339767499268e+07,2.710611873799906112e+06
1.493371894979372621e+07,1.219164697794526257e+07,5.354490483419428580e+06
1.316811024207560718e+07,1.284698421543399803e+07,7.866558333679464646e+06
1.107827268241027184e+07,1.318603088606682420e+07,1.018498075608174317e+07
8.715640639974474907e+06,1.320043519677594677e+07,1.225268659068996087e+07
6.138363123881231993e+06,1.288983355540432222e+07,1.401877193017173000e+07
3.409874201650789939e+06,1.226186012172126211e+07,1.543975250024312362e+07
5.973333527625167044e+05,1.133195986698957905e+07,1.648063394246429577e+07
-2.230026038523655850e+06,1.012300966726777516e+07,1.711577370136391371e+07
-5.002599582279423252e+06,8.664756646430751309e+06,1.732951329286152497e+07
-7.652124417994328775e+06,6.993087456981710158e+06,1.711656532437486202e+07
-1.011335935208160616e+07,5.149146334251635708e+06,1.648214561788105033e+07
-1.232569130590333231e+07,3.178323482514821459e+06,1.544184701388951764e+07
-1.423462853014298342e+07,1.129138559851878555e+06,1.402125776031639613e+07
-1.579314375840782747e+07,-9.479533578859531553e+05,1.225533366357190721e+07
-1.696283410032200068e+07,-3.001804001368037425e+06,1.018753924900776893e+07
-1.771486892968871817e+07,-4.981831749065201730e+06,7.868778894224242307e+06
-1.803070220418548957e+07,-6.839268024880364537e+06,5.356144119576156139e+06
-1.790253143617494032e+07,-8.528359469333831221e+06,2.711507811776284594e+06
-1.733349178090715036e+07,-1.000749614570289478e+07,1.485918365927441757e-08
-1.633758026397317834e+07,-1.124023783240870573e+07,-2.711597203645014670e+06
-1.493931187150043808e+07,-1.219621294890351780e+07,-5.356495827577421442e+06
-1.317311590262243524e+07,-1.285186780471532792e+07,-7.869548688405188732e+06
-1.108248746335429139e+07,-1.319104757353238016e+07,-1.018885567991116829e+07
-8.718915094125632197e+06,-1.320539458204808272e+07,-1.225728990811973810e+07
-6.140611110120695084e+06,-1.289455405953170359e+07,-1.402390587317205220e+07
-3.411076146832169965e+06,-1.226618229984766804e+07,-1.544519485237168707e+07
-5.975335144278975204e+05,-1.133575711679860018e+07,-1.648615647209074162e+07
2.230727831864574924e+06,-1.012619539723322354e+07,-1.712116006717353687e+07
