vx,vy,vz
3.866201827051971122e+03,2.232152665589877870e+03,-7.102097538535267217e-13
3.644039653200202793e+03,2.507087967815276443e+03,6.048010396537040378e+02
3.332151969747319527e+03,2.720290679350082428e+03,1.194707763953590074e+03
2.938219997118593710e+03,2.866512160871966898e+03,1.755195081895807334e+03
2.471944931092952629e+03,2.942153101527472700e+03,2.272462545208538359e+03
1.944809026744162793e+03,2.945352087487699919e+03,2.733774108561815410e+03
1.369792848709261989e+03,2.876031380929691295e+03,3.127771666490060852e+03
7.610556525507162178e+02,2.735898787821827682e+03,3.444754652930076645e+03
1.335867672969671105e+02,2.528405573577237192e+03,3.676918826277240896e+03
-4.971634395851586419e+02,2.258661466763768203e+03,3.818548368659248354e+03
-1.115663933866501566e+03,1.933308845732523650e+03,3.866156577413257310e+03
-1.706685365495244469e+03,1.560359205541282336e+03,3.818571691097933126e+03
-2.255674994548206541e+03,1.148995928330091147e+03,3.676965740455207651e+03
-2.749114970848158464e+03,7.093482072333454198e+02,3.444825713528638062e+03
-3.174855153950340537e+03,2.522416822285615012e+02,3.127867739999790047e+03
-3.522412283053923147e+03,-2.110680806937983220e+02,2.733896398686340945e+03
-3.783228129793337757e+03,-6.691727118935461931e+02,2.272612600872600979e+03
-3.950880271307857129e+03,-1.110791942958195705e+03,1.755374767826065181e+03
-4.021240283100619308e+03,-1.525051378282241103e+03,1.194919172463100949e+03
-3.992575442491621743e+03,-1.901750291010154115e+03,6.050463232084094898e+02
-3.865591422043228704e+03,-2.231612842372355317e+03,2.811085821160436149e-01
-3.643414906237567266e+03,-2.506516524569203739e+03,-6.044849215251729220e+02
-3.331516558305690523e+03,-2.719692180332264343e+03,-1.194360297877167113e+03
-2.937576262646712166e+03,-2.865890660844698232e+03,-1.754820322260846751e+03
-2.471293999061199429e+03,-2.941512035758059483e+03,-2.272064670230052798e+03
-1.944151012752718998e+03,-2.944694204905367769e+03,-2.733357141520952155e+03
-1.369127140442170230e+03,-2.875358742536289810e+03,-3.127339229170769158e+03
-7.603812327790461723e+02,-2.735212839096282096e+03,-3.444309794496840368e+03
-1.329025321078221111e+02,-2.527707281924465406e+03,-3.676463953854046395e+03
4.978584126077613519e+02,-2.257951501017185365e+03,-3.818085284331893035e+03
1.116370203612060550e+03,-1.932587766699154599e+03,-3.865686606404781287e+03
1.707403052461917923e+03,-1.559627634778609035e+03,-3.818095870099027252e+03
2.256403815556285736e+03,-1.148254666815517567e+03,-3.676485025691154988e+03
2.749854367211553381e+03,-7.085982851342815820e+02,-3.444341166414208601e+03
3.175604481631149611e+03,-2.514843339270091747e+02,-3.127380654354801663e+03
3.523171024372785268e+03,2.118315084754913755e+02,-2.733408346270837228e+03
3.783996085158120877e+03,6.699408991886823515e+02,-2.272125388784771530e+03
3.951657696401250178e+03,1.111563755433694496e+03,-1.754890318993232313e+03
4.022027950493990375e+03,1.525826015958543621e+03,-1.194439355921039805e+03
3.993374624734058671e+03,1.902527399687700381e+03,-6.045727723162935945e+02
3.866403814003364914e+03,2.232392569099907178e+03,1.849294339040951640e-01
3.644242523591601184e+03,2.507299514956856910e+03,6.049426694534486160e+02
3.332361652417648202e+03,2.720479540052418088e+03,1.194809464487854939e+03
2.938441263951772726e+03,2.866683918967859427e+03,1.755261096341099801e+03
2.472181462521339199e+03,2.942313131042234545e+03,2.272497747254904425e+03
1.945063531382033261e+03,2.945505485014236456e+03,2.733783797369841977e+03
1.370067213187342304e+03,2.876182953164037372e+03,3.127761418233665609e+03
7.613510930528367453e+02,2.736053085989089141e+03,3.444730241200826640e+03
1.339039529374233268e+02,2.528566959373298687e+03,3.676886214148981253e+03
-4.968243189331911367e+02,2.258834188508414172e+03,3.818513764176665063e+03
-1.115303175740560846e+03,1.933497099847916388e+03,3.866126532884660264e+03
-1.706303848412256002e+03,1.560567158220838792e+03,3.818553216631421947e+03
-2.255274351991374260e+03,1.149227676235361059e+03,3.676966395681058202e+03
-2.748697825322117296e+03,7.096076641704144095e+02,3.444853640311614527e+03
