theta_bar,x_c,y_c,vx_c,vy_c,t_bar,nx_s,ny_s,nz_s,lam_x,lam_y,lam_vx,lam_vy,lam_t_bar
0.000000000000000000e+00,-1.836970198721029688e-16,-1.000000000000000000e+00,1.000000000000000000e+00,-1.836970198721029688e-16,0.000000000000000000e+00,9.844425942734691404e-01,1.756880671485915313e-01,-2.545906854922761180e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.184438582982677790e+00,1.814446250041204176e-02,0.000000000000000000e+00
2.500000000000000052e-04,1.564344927317923017e-01,-9.876885154327769145e-01,9.876956365821890627e-01,1.564328678916570570e-01,2.499991324155377797e-04,9.816195697708920420e-01,1.849745375505675304e-01,4.698340878185066488e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.154770446117659333e+00,-3.306860636788673813e-01,0.000000000000000000e+00
5.000000000000000104e-04,3.090173022783264112e-01,-9.510574639243147832e-01,9.510715060397852971e-01,3.090132945450937973e-01,4.999967307124902460e-04,9.763847362733546476e-01,1.929381878977269593e-01,9.719929229759381728e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.072151302725680377e+00,-6.706091394101166836e-01,0.000000000000000000e+00
7.500000000000000156e-04,4.539918018494973895e-01,-8.910090797230366677e-01,8.910298343767020235e-01,4.539843392589173465e-01,7.499932702964137374e-04,9.684902508309175539e-01,2.002373353673257694e-01,1.480933609938658857e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.938553912164769688e+00,-9.938359031100884033e-01,0.000000000000000000e+00
1.000000000000000021e-03,5.877888721583826026e-01,-8.090219766929400702e-01,8.090494242453447615e-01,5.877764914671618213e-01,9.999894426059353653e-04,9.576351017566561152e-01,2.075383341331188125e-01,1.996568349663213893e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.757030008314483860e+00,-1.292940457943466237e+00,0.000000000000000000e+00
1.250000000000000026e-03,7.071146822251681563e-01,-7.071146822251684894e-01,7.071492275326337618e-01,7.070955503237019713e-01,1.249986127810085671e-03,9.434655909140329255e-01,2.155297003201691319e-01,2.518325376934692494e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.531658747857233216e+00,-1.560990671104600436e+00,0.000000000000000000e+00
1.500000000000000031e-03,8.090316750333984563e-01,-5.877959184151771987e-01,5.878386222915032988e-01,8.090037215866267006e-01,1.499984359069424147e-03,9.255836916381156021e-01,2.249399609224974339e-01,3.044615636722359242e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.267484775516923623e+00,-1.791676662647593510e+00,0.000000000000000000e+00
1.750000000000000036e-03,8.910307799936253437e-01,-4.540028586896237006e-01,4.540556194837826465e-01,8.909919365375570388e-01,1.749985279596864667e-03,9.035656920955353888e-01,2.365580971046171710e-01,3.572244487183915407e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.704436579358590720e-01,-1.979437945742905436e+00,0.000000000000000000e+00
2.000000000000000042e-03,9.510930908353829594e-01,-3.090288781634488724e-01,3.090945216582164368e-01,9.510416141624288278e-01,1.999990094078172003e-03,8.769931245101588724e-01,2.512556134716513179e-01,4.095774362204210872e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.472716584765805248e-01,-2.119588840027595289e+00,0.000000000000000000e+00
2.250000000000000264e-03,9.877395053799919999e-01,-1.564425687460445913e-01,1.565248147316183891e-01,9.876743479713637752e-01,2.250000016344624269e-03,8.454967426357836713e-01,2.700093908485724503e-01,4.606844766712487882e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.053966019774877472e-01,-2.208440194840087134e+00,0.000000000000000000e+00
